timestamp,middleware_hsf_provider_rt,middleware_metaq_send_success_rate,middleware_hsf_provider_biz_pool_usage,middleware_tddl_read_table_rt,middleware_tddl_read_table_success_rate,middleware_tair_read_hit_rate,pod_nginx_rt,middleware_tddl_write_table_success_rate,pod_nginx_qps,middleware_metaq_receive_success_rate,middleware_tair_write_success_rate,middleware_notify_send_qps,middleware_metaq_receive_rt,pod_event_oom,middleware_hsf_consumer_rt,middleware_tddl_write_table_rt,middleware_hsf_consumer_success_rate,middleware_notify_receive_qps,middleware_hsf_online,middleware_tair_write_qps,jvm_gc_fgc_time,middleware_hsf_consumer_qps,middleware_hsf_provider_success_rate,pod_cpu_load_average_1m_util_limit_v2,middleware_notify_receive_rt,middleware_tair_read_qps,middleware_tair_write_rt,middleware_metaq_send_rt,middleware_tair_read_rt,middleware_hsf_provider_qps,middleware_tair_read_success_rate,pod_network_retran_util,middleware_notify_receive_success_rate,jvm_gc_fgc_count,pod_cpu_limit_usage
1747042380000,70.7623,0.9999,0.0694,0.8983,1.0,0.0477,1.1552,0.9999,5.0283,0.9739,1.0,0.0,98.2421,0.0,20.584,2.3327,0.9996,0.0256,1.0,0.0,16.5455,0.0487,1.0,0.3907,40.4971,0.1579,1.4167,2.3572,0.5841,0.0332,1.0,0.0345,0.9319,0.0182,0.3181
1747042440000,70.7333,1.0,0.0694,0.8531,1.0,0.0451,1.1961,1.0,5.0345,0.9795,1.0,0.0,91.9556,0.0,20.2034,2.3329,0.9997,0.0261,1.0,0.0,0.0,0.0485,1.0,0.4061,38.8825,0.1615,1.3846,2.6444,0.5824,0.0313,1.0,0.027,0.932,0.0,0.3232
1747042500000,69.9232,1.0,0.0694,0.8854,1.0,0.0488,1.1144,1.0,5.03,0.9754,1.0,0.0,94.6669,0.0,20.6104,2.3342,0.9996,0.0257,1.0,0.0,7.6909,0.0508,1.0,0.3975,38.1735,0.1564,1.8667,2.5793,0.5772,0.0329,1.0,0.057,0.9313,0.0182,0.3073
1747042560000,70.1716,1.0,0.0694,0.9305,1.0,0.0439,1.1628,0.9999,5.0309,0.9809,1.0,0.0,89.8588,0.0,20.4486,2.3423,0.9997,0.0258,1.0,0.0,0.0,0.048,1.0,0.3749,39.4785,0.159,1.3714,2.658,0.5656,0.0316,1.0,0.0357,0.9339,0.0,0.3081
1747042620000,68.6963,1.0,0.0694,0.8794,1.0,0.0471,1.1642,0.9999,5.0164,0.979,1.0,0.0,90.2146,0.0,20.0859,2.3129,0.9997,0.0261,1.0,0.0,0.0,0.0496,1.0,0.3838,38.5019,0.1569,1.4667,2.5159,0.5699,0.0315,1.0,0.0266,0.9308,0.0,0.3107
1747042680000,69.015,1.0,0.0694,0.9324,1.0,0.0482,1.1766,0.9999,5.0327,0.9811,1.0,0.0,89.2188,0.0,19.4574,2.3412,0.9998,0.0261,1.0,0.0,0.3273,0.0505,1.0,0.3789,37.4235,0.1563,1.1111,2.6841,0.5698,0.0318,1.0,0.0297,0.9332,0.0,0.3136
1747042740000,64.0754,0.9999,0.0694,0.9472,1.0,0.0479,1.1514,0.9999,5.0449,0.9799,1.0,0.0,93.78,0.0,20.1561,2.3134,0.9997,0.026,1.0,0.0,15.5818,0.052,1.0,0.3732,37.8837,0.1591,1.2857,2.4583,0.5777,0.0343,1.0,0.0333,0.928,0.0182,0.3063
1747042800000,69.9554,1.0,0.0694,0.876,1.0,0.0485,1.1178,0.9999,5.0327,0.9824,1.0,0.0,89.6911,0.0,20.2572,2.2983,0.9997,0.026,1.0,0.0,13.8909,0.048,1.0,0.3677,39.2264,0.1597,1.4737,2.6343,0.5757,0.0317,1.0,0.0256,0.9326,0.0182,0.3183
1747042860000,70.5389,1.0,0.0694,0.9381,1.0,0.0463,1.1971,0.9999,5.0475,0.9803,1.0,0.0,93.292,0.0,20.3452,2.3054,0.9997,0.026,1.0,0.0,0.0,0.0491,1.0,0.3599,39.3087,0.1618,1.6333,2.3759,0.5795,0.0327,1.0,0.0374,0.9315,0.0,0.3091
1747042920000,69.5154,1.0,0.0694,0.9377,1.0,0.0462,1.176,0.9999,5.0403,0.978,1.0,0.0,93.7916,0.0,19.9022,2.3132,0.9998,0.0261,1.0,0.0,0.0,0.0504,1.0,0.3744,39.5319,0.1641,1.8571,2.5527,0.5867,0.033,1.0,0.0233,0.9301,0.0,0.3191
1747042980000,70.7829,1.0,0.0694,0.9775,1.0,0.0456,1.1525,1.0,5.042,0.9797,1.0,0.0,93.4243,0.0,20.4863,2.314,0.9996,0.0262,1.0,0.0,13.4,0.0472,1.0,0.3861,38.8053,0.16,1.0,2.2624,0.5801,0.0334,1.0,0.026,0.9307,0.0182,0.3265
1747043040000,65.8633,1.0,0.0694,0.8668,1.0,0.0473,1.1327,1.0,5.0586,0.9774,1.0,0.0,95.1901,0.0,20.4182,2.3289,0.9996,0.026,1.0,0.0,0.0,0.0522,1.0,0.3821,40.271,0.1633,1.4118,2.4794,0.583,0.0351,1.0,0.0218,0.9279,0.0,0.3211
1747043100000,67.3357,1.0,0.0694,1.0601,1.0,0.0439,1.1803,0.9999,5.0336,0.9825,1.0,0.0,89.0987,0.0,20.1098,2.2978,0.9997,0.026,1.0,0.0,0.0,0.0486,1.0,0.3986,36.8621,0.1622,1.3125,2.541,0.5727,0.032,1.0,0.0205,0.9325,0.0,0.3237
1747043160000,70.7356,1.0,0.0694,1.2682,1.0,0.0459,1.1754,1.0,5.051,0.98,1.0,0.0,92.5545,0.0,20.042,2.3429,0.9997,0.0262,1.0,0.0,0.0,0.0504,1.0,0.3975,38.1451,0.1664,1.6774,2.4839,0.5735,0.0323,1.0,0.0203,0.9302,0.0,0.3078
1747043220000,68.9774,1.0,0.0694,0.8443,1.0,0.0446,1.1783,0.9999,5.0436,0.9813,1.0,0.0,87.4157,0.0,20.0691,2.3017,0.9997,0.026,1.0,0.0,0.0,0.0477,1.0,0.3742,36.0087,0.1593,1.2941,2.4346,0.5737,0.0324,1.0,0.0247,0.9302,0.0,0.3173
1747043280000,71.2379,1.0,0.0694,0.9628,1.0,0.0471,1.1177,0.9999,5.0427,0.9803,1.0,0.0,94.1049,0.0,20.6178,2.3251,0.9997,0.0259,1.0,0.0,0.0,0.0486,1.0,0.3608,39.0694,0.1648,1.25,2.5264,0.5749,0.0343,1.0,0.0243,0.9271,0.0,0.3011
1747043340000,75.017,1.0,0.0694,1.2315,1.0,0.0461,1.1225,1.0,5.0355,0.9811,1.0,0.0,95.0348,0.0,20.6276,2.3271,0.9997,0.0259,1.0,0.0,0.0,0.0482,1.0,0.3671,38.737,0.1653,1.75,2.5221,0.5751,0.0329,1.0,0.0303,0.9282,0.0,0.3183
1747043400000,70.303,1.0,0.0694,0.9423,1.0,0.0452,1.164,0.9999,5.0518,0.9798,1.0,0.0,87.6612,0.0,20.3916,2.327,0.9996,0.0262,1.0,0.0,0.0,0.0461,1.0,0.3997,36.9791,0.1638,1.6,2.3715,0.562,0.0317,1.0,0.0252,0.9315,0.0,0.3136
1747043460000,69.7552,0.9999,0.0694,1.0355,1.0,0.0452,1.1584,1.0,5.0518,0.9798,1.0,0.0,93.0116,0.0,19.8474,2.3351,0.9997,0.0263,1.0,0.0,0.0,0.048,1.0,0.3882,37.7324,0.1681,1.4074,2.4646,0.5763,0.0335,1.0,0.0357,0.9312,0.0,0.3061
1747043520000,68.8113,1.0,0.0694,0.8265,1.0,0.0456,1.1764,0.9999,5.0409,0.9801,1.0,0.0,89.6011,0.0,20.1466,2.3517,0.9997,0.026,1.0,0.0,13.6182,0.0482,1.0,0.397,36.7865,0.1628,1.3077,2.4043,0.579,0.0331,1.0,0.0246,0.9283,0.0182,0.3244
1747043580000,69.8943,1.0,0.0694,0.8152,1.0,0.0452,1.187,0.9999,5.0291,0.9831,1.0,0.0,88.1509,0.0,20.2752,2.3168,0.9998,0.0259,1.0,0.0,0.0,0.0484,1.0,0.4075,38.2219,0.1648,1.2727,2.5208,0.5748,0.0321,1.0,0.0313,0.9298,0.0,0.3049
1747043640000,71.8773,0.9999,0.0694,0.8288,1.0,0.0471,1.1521,0.9998,5.0382,0.9807,1.0,0.0,85.8505,0.0,19.9223,2.3336,0.9996,0.0259,1.0,0.0,0.0,0.0479,1.0,0.3893,39.5139,0.1628,1.3,2.4079,0.5851,0.0327,1.0,0.0205,0.9297,0.0,0.3135
1747043700000,71.5152,1.0,0.0694,0.924,1.0,0.0434,1.1751,1.0,5.0545,0.9829,1.0,0.0,93.3222,0.0,20.3513,2.315,0.9997,0.0259,1.0,0.0,22.0364,0.0494,1.0,0.4002,37.9391,0.168,0.7692,2.5065,0.5811,0.0323,1.0,0.0331,0.9296,0.0364,0.3214
1747043760000,68.8188,1.0,0.0694,0.848,1.0,0.0452,1.1578,0.9999,5.0345,0.9849,1.0,0.0,74.9447,0.0,19.3863,2.3076,0.9996,0.0261,1.0,0.0,0.0,0.0488,1.0,0.3851,37.4523,0.1652,0.9,2.5832,0.5784,0.0329,1.0,0.019,0.9298,0.0,0.3181
1747043820000,71.0249,1.0,0.0694,0.9114,1.0,0.0458,1.1671,1.0,5.0282,0.9837,1.0,0.0,80.2342,0.0,19.917,2.3226,0.9997,0.0261,1.0,0.0,0.0,0.0492,1.0,0.3866,40.6271,0.1656,1.2143,2.52,0.5783,0.0339,1.0,0.0215,0.9268,0.0,0.3171
1747043880000,69.4402,1.0,0.0694,0.8675,1.0,0.0467,1.2137,1.0,5.0473,0.9763,1.0,0.0,96.0743,0.0,20.0517,2.3199,0.9996,0.026,1.0,0.0,10.7455,0.0505,1.0,0.4064,39.6652,0.1669,0.7,2.4497,0.5805,0.0341,1.0,0.0247,0.9263,0.0182,0.3254
1747043940000,69.543,1.0,0.0694,0.8945,1.0,0.0467,1.1411,1.0,5.0191,0.9784,1.0,0.0,94.124,0.0,20.53,2.3258,0.9996,0.0263,1.0,0.0,0.0,0.0477,1.0,0.4144,39.5865,0.1645,0.8,2.6738,0.5803,0.0345,1.0,0.0355,0.9273,0.0,0.3275
1747044000000,70.5231,1.0,0.0694,0.9124,1.0,0.0452,1.1953,0.9999,5.0531,0.9724,1.0,0.0,90.9539,0.0,20.264,2.3542,0.9996,0.0261,1.0,0.0,0.0,0.0492,1.0,0.4175,38.1102,0.1679,1.2857,2.5701,0.5909,0.0332,1.0,0.0208,0.9298,0.0,0.3289
1747044060000,71.1563,1.0,0.0694,0.9566,1.0,0.0451,1.1926,0.9999,5.0645,0.9787,1.0,0.0,91.532,0.0,19.768,2.3449,0.9997,0.0259,1.0,0.0,0.0,0.046,1.0,0.4125,37.4816,0.1731,1.5882,2.752,0.5844,0.0338,1.0,0.0432,0.9284,0.0,0.326
1747044120000,70.6813,0.9999,0.0694,1.0488,1.0,0.0455,1.1306,0.9999,5.0445,0.9821,1.0,0.0,88.2311,0.0,19.8801,2.332,0.9997,0.0258,1.0,0.0,0.0,0.0539,1.0,0.4108,37.2318,0.1678,1.3333,2.4904,0.5702,0.0324,1.0,0.0347,0.9298,0.0,0.3196
1747044180000,70.3061,1.0,0.0694,0.9551,1.0,0.044,1.1642,0.9999,5.0236,0.978,1.0,0.0,91.6616,0.0,19.9984,2.3462,0.9997,0.0256,1.0,0.0,9.8364,0.0486,1.0,0.3967,37.9812,0.1692,1.125,2.4992,0.5718,0.0321,1.0,0.0249,0.932,0.0182,0.317
1747044240000,71.14,1.0,0.0694,0.8828,1.0,0.0447,1.2079,0.9999,5.0636,0.9811,1.0,0.0,91.2957,0.0,20.4574,2.3326,0.9997,0.0259,1.0,0.0,15.0545,0.0476,1.0,0.4029,38.1993,0.1641,1.0909,2.4432,0.5731,0.0327,1.0,0.0374,0.9283,0.0182,0.3211
1747044300000,70.65,1.0,0.0694,0.9383,1.0,0.0445,1.607,0.9999,5.0283,0.9808,1.0,0.0,91.609,0.0,20.1738,2.3448,0.9997,0.0259,1.0,0.0,0.4545,0.0475,1.0,0.4223,37.4084,0.1712,1.1111,2.3955,0.5745,0.0324,1.0,0.0311,0.9304,0.0,0.3185
1747044360000,69.5743,1.0,0.0694,0.8302,1.0,0.0469,1.2113,0.9999,5.062,0.9814,1.0,0.0,89.9858,0.0,19.9832,2.3444,0.9998,0.026,1.0,0.0,30.3091,0.0485,1.0,0.4065,38.2766,0.1639,1.1154,2.4236,0.5725,0.0334,1.0,0.0241,0.9283,0.0364,0.3204
1747044420000,70.2185,1.0,0.0694,0.9253,1.0,0.0448,1.5079,0.9999,5.0273,0.9772,1.0,0.0,93.0304,0.0,19.9223,2.3531,0.9997,0.0258,1.0,0.0,14.8909,0.049,1.0,0.4199,39.0454,0.1671,1.1875,2.4909,0.5763,0.0323,1.0,0.0313,0.9291,0.0182,0.3201
1747044480000,71.5346,1.0,0.0694,1.0012,1.0,0.0423,1.5727,0.9999,5.0382,0.9812,1.0,0.0,90.1064,0.0,20.3354,2.3267,0.9997,0.0259,1.0,0.0,15.5636,0.0472,1.0,0.4159,37.3581,0.1707,1.5,2.5207,0.5663,0.0319,1.0,0.0309,0.9298,0.0182,0.3264
1747044540000,70.5802,1.0,0.0694,0.9199,1.0,0.0444,1.1563,1.0,5.0309,0.9824,1.0,0.0,90.7403,0.0,20.4245,2.3216,0.9998,0.0258,1.0,0.0,0.0,0.0476,1.0,0.4199,38.5222,0.1663,1.25,2.4549,0.5719,0.0321,1.0,0.0479,0.9317,0.0,0.3177
1747044600000,71.2014,1.0,0.0694,0.8837,1.0,0.0423,1.1351,0.9999,5.0455,0.9825,1.0,0.0,87.8246,0.0,20.1437,2.3461,0.9997,0.0259,1.0,0.0,0.0,0.0473,1.0,0.413,37.0794,0.1739,1.2857,2.7197,0.5612,0.0314,1.0,0.0234,0.9293,0.0,0.3147
1747044660000,70.7867,1.0,0.0694,0.9462,1.0,0.0431,1.2668,1.0,5.0409,0.9836,1.0,0.0,87.3508,0.0,20.0553,2.3218,0.9997,0.0261,1.0,0.0,0.0,0.0472,1.0,0.3898,36.6872,0.1691,1.56,2.5849,0.56,0.0322,1.0,0.0341,0.9306,0.0,0.3079
1747044720000,72.141,1.0,0.0694,0.9158,1.0,0.0467,1.1153,0.9999,5.0457,0.9816,1.0,0.0,92.4805,0.0,20.4159,2.3173,0.9997,0.026,1.0,0.0,0.4182,0.0468,1.0,0.3943,37.5769,0.1659,1.4545,2.4777,0.5668,0.0319,1.0,0.029,0.9296,0.0,0.3111
1747044780000,71.1373,1.0,0.0694,0.9919,1.0,0.0444,1.1089,0.9999,5.0491,0.9814,1.0,0.0,89.6233,0.0,20.3333,2.3424,0.9997,0.0257,1.0,0.0,9.9455,0.046,1.0,0.3996,37.717,0.1675,1.3333,2.6886,0.5575,0.0327,1.0,0.0391,0.9295,0.0182,0.3133
1747044840000,70.5605,1.0,0.0694,0.8586,1.0,0.0459,1.0976,0.9999,5.0552,0.979,1.0,0.0,94.5403,0.0,20.9586,2.3369,0.9997,0.0262,1.0,0.0,0.0,0.0466,1.0,0.3926,39.2058,0.1619,1.3846,2.5635,0.5632,0.0339,1.0,0.0205,0.9273,0.0,0.3072
1747044900000,72.0532,1.0,0.0694,0.9561,1.0,0.0435,1.188,0.9999,5.0231,0.9807,1.0,0.0,89.1593,0.0,20.5877,2.3263,0.9997,0.0259,1.0,0.0,0.0,0.047,1.0,0.3907,37.7434,0.1652,1.6364,2.4573,0.5744,0.0319,1.0,0.0273,0.9281,0.0,0.3102
1747044960000,70.4211,1.0,0.0694,1.257,1.0,0.0438,1.1238,0.9999,5.066,0.9775,1.0,0.0,85.6399,0.0,19.3142,2.338,0.9997,0.0261,1.0,0.0,0.0,0.0479,1.0,0.3733,36.0022,0.1676,1.6667,2.5428,0.5694,0.0308,1.0,0.0137,0.9311,0.0,0.3162
1747045020000,71.2476,1.0,0.0694,0.8859,1.0,0.044,1.1206,0.9999,5.035,0.9753,1.0,0.0,93.7182,0.0,20.4573,2.3262,0.9996,0.0259,1.0,0.0,0.0,0.0468,1.0,0.3655,37.6716,0.1741,1.4615,2.4057,0.5606,0.0334,1.0,0.026,0.9298,0.0,0.3168
1747045080000,72.7114,1.0,0.0694,0.8965,1.0,0.0457,1.1207,0.9999,5.0392,0.9792,1.0,0.0,96.3163,0.0,21.2898,2.3206,0.9997,0.0261,1.0,0.0,16.8,0.0463,1.0,0.3777,39.4325,0.1676,0.8889,2.5215,0.5691,0.033,1.0,0.0261,0.9312,0.0182,0.3173
1747045140000,72.331,1.0,0.0694,1.2754,1.0,0.0453,1.4005,1.0,5.0254,0.981,1.0,0.0,94.7235,0.0,20.2193,2.3203,0.9997,0.026,1.0,0.0,0.0,0.0473,1.0,0.4051,38.2908,0.1669,1.1818,2.7579,0.5649,0.032,1.0,0.0206,0.9311,0.0,0.3198
1747045200000,71.736,1.0,0.0694,0.9752,1.0,0.0433,1.1033,0.9999,5.06,0.9836,1.0,0.0,84.6235,0.0,20.1458,2.3301,0.9998,0.026,1.0,0.0,0.0,0.0469,1.0,0.3866,35.0264,0.17,1.2143,2.2727,0.5597,0.0311,1.0,0.0155,0.9312,0.0,0.3134
1747045260000,69.9465,1.0,0.0694,1.0126,1.0,0.0417,1.1326,0.9999,5.04,0.9823,1.0,0.0,85.7316,0.0,19.7614,2.307,0.9997,0.026,1.0,0.0,0.0,0.0488,1.0,0.3975,35.9808,0.1691,1.1852,2.3442,0.5639,0.0325,1.0,0.0243,0.9302,0.0,0.3052
1747045320000,71.6007,1.0,0.0694,0.8266,1.0,0.0431,1.2093,1.0,5.0545,0.9852,1.0,0.0,77.4662,0.0,19.8646,2.3173,0.9997,0.0262,1.0,0.0,15.7455,0.0463,1.0,0.3829,36.9453,0.1665,1.3636,2.386,0.5675,0.0326,1.0,0.0271,0.9306,0.0182,0.316
1747045380000,72.9881,0.9999,0.0694,0.8244,1.0,0.0434,1.1961,0.9999,5.0436,0.9803,1.0,0.0,88.3596,0.0,20.7088,2.3057,0.9996,0.026,1.0,0.0,0.0,0.047,1.0,0.3903,37.0179,0.1693,1.2,2.4882,0.5639,0.0314,1.0,0.026,0.9302,0.0,0.3148
