timestamp,pod_nginx_rt
1747042380000,1.1552
1747042440000,1.1961
1747042500000,1.1144
1747042560000,1.1628
1747042620000,1.1642
1747042680000,1.1766
1747042740000,1.1514
1747042800000,1.1178
1747042860000,1.1971
1747042920000,1.176
1747042980000,1.1525
1747043040000,1.1327
1747043100000,1.1803
1747043160000,1.1754
1747043220000,1.1783
1747043280000,1.1177
1747043340000,1.1225
1747043400000,1.164
1747043460000,1.1584
1747043520000,1.1764
1747043580000,1.187
1747043640000,1.1521
1747043700000,1.1751
1747043760000,1.1578
1747043820000,1.1671
1747043880000,1.2137
1747043940000,1.1411
1747044000000,1.1953
1747044060000,1.1926
1747044120000,1.1306
1747044180000,1.1642
1747044240000,1.2079
1747044300000,1.607
1747044360000,1.2113
1747044420000,1.5079
1747044480000,1.5727
1747044540000,1.1563
1747044600000,1.1351
1747044660000,1.2668
1747044720000,1.1153
1747044780000,1.1089
1747044840000,1.0976
1747044900000,1.188
1747044960000,1.1238
1747045020000,1.1206
1747045080000,1.1207
1747045140000,1.4005
1747045200000,1.1033
1747045260000,1.1326
1747045320000,1.2093
1747045380000,1.1961
1747045440000,1.145
1747045500000,1.158
1747045560000,1.6033
1747045620000,1.1681
1747045680000,1.1491
1747045740000,1.1076
1747045800000,1.1497
1747045860000,1.6697
1747045920000,1.1054
1747045980000,1.1743
1747046040000,1.136
1747046100000,1.1877
1747046160000,1.4081
1747046220000,1.1198
1747046280000,1.2295
1747046340000,1.2379
1747046400000,1.0998
1747046460000,1.2672
1747046520000,1.1824
1747046580000,1.1257
1747046640000,1.2915
1747046700000,1.3702
1747046760000,1.1252
1747046820000,1.1497
1747046880000,1.2605
1747046940000,1.1898
1747047000000,1.2082
1747047060000,1.1627
1747047120000,1.1769
1747047180000,1.2295
1747047240000,1.1656
1747047300000,1.108
1747047360000,1.1542
1747047420000,1.1546
1747047480000,1.1997
1747047540000,1.1767
1747047600000,1.5436
1747047660000,1.1656
1747047720000,1.111
1747047780000,1.2039
1747047840000,1.116
1747047900000,1.142
1747047960000,1.1476
1747048020000,1.1177
1747048080000,1.1637
1747048140000,1.1634
1747048200000,1.1759
1747048260000,1.0874
1747048320000,1.179
1747048380000,1.1259
1747048440000,1.1893
1747048500000,1.1103
1747048560000,1.1101
1747048620000,1.16
1747048680000,1.1444
1747048740000,1.1338
1747048800000,1.1614
1747048860000,1.4037
1747048920000,1.1367
1747048980000,1.1783
1747049040000,1.1897
1747049100000,1.1328
1747049160000,1.1832
1747049220000,1.1115
1747049280000,1.1367
1747049340000,1.4633
1747049400000,1.1409
1747049460000,1.1662
1747049520000,1.0669
1747049580000,1.0744
1747049640000,1.1084
1747049700000,1.1415
1747049760000,1.1072
1747049820000,1.1131
1747049880000,1.117
1747049940000,1.0925
1747050000000,1.1219
1747050060000,1.1774
1747050120000,1.2179
1747050180000,1.356
1747050240000,1.1099
1747050300000,1.2185
1747050360000,1.121
1747050420000,1.148
1747050480000,1.305
1747050540000,1.9665
1747050600000,1.4254
1747050660000,1.2934
1747050720000,1.1272
1747050780000,1.1898
1747050840000,1.118
1747050900000,1.0796
1747050960000,1.1317
1747051020000,1.0801
1747051080000,1.1629
1747051140000,1.1564
1747051200000,1.1419
1747051260000,1.3444
1747051320000,1.1488
1747051380000,1.8667
1747051440000,1.1012
1747051500000,1.1577
1747051560000,1.204
1747051620000,1.2175
1747051680000,1.2095
1747051740000,1.2186
1747051800000,1.2248
1747051860000,1.0971
1747051920000,1.2692
1747051980000,1.1913
1747052040000,1.1394
1747052100000,1.1753
1747052160000,1.2061
1747052220000,1.1512
1747052280000,1.181
1747052340000,1.0913
1747052400000,1.1494
1747052460000,1.2295
1747052520000,1.1905
1747052580000,1.2087
1747052640000,1.2091
1747052700000,1.1685
1747052760000,1.1984
1747052820000,1.2065
1747052880000,1.5401
1747052940000,1.493
1747053000000,1.1942
1747053060000,1.1492
1747053120000,1.2111
1747053180000,1.0735
1747053240000,1.1016
1747053300000,1.179
1747053360000,1.2637
1747053420000,1.5467
1747053480000,1.0931
1747053540000,1.1438
1747053600000,1.1087
1747053660000,1.201
1747053720000,1.2502
1747053780000,2.1756
1747053840000,1.2818
1747053900000,1.443
1747053960000,1.5373
1747054020000,1.2381
1747054080000,1.1608
1747054140000,1.1913
1747054200000,2.0071
1747054260000,1.1687
1747054320000,1.2868
1747054380000,1.1619
1747054440000,1.4108
1747054500000,1.189
1747054560000,1.2223
1747054620000,1.1634
1747054680000,1.1194
1747054740000,1.1823
1747054800000,1.1276
1747054860000,1.1161
1747054920000,1.0909
1747054980000,1.1693
1747055040000,1.5923
1747055100000,1.1403
1747055160000,1.2427
1747055220000,1.0844
1747055280000,1.1552
1747055340000,1.074
1747055400000,1.1313
1747055460000,1.11
1747055520000,1.1507
1747055580000,1.0882
1747055640000,1.1384
1747055700000,1.1631
1747055760000,1.15
1747055820000,1.0831
1747055880000,1.0799
1747055940000,1.2382
1747056000000,1.5067
1747056060000,1.1015
1747056120000,1.1067
1747056180000,1.0775
1747056240000,1.3262
1747056300000,1.0864
1747056360000,1.1796
1747056420000,1.0364
1747056480000,1.2401
1747056540000,1.2125
1747056600000,1.1006
1747056660000,1.0743
1747056720000,1.1159
1747056780000,1.6059
1747056840000,1.0411
1747056900000,1.0545
1747056960000,1.9889
1747057020000,1.1183
1747057080000,1.1716
1747057140000,1.2021
1747057200000,1.1451
1747057260000,1.0739
1747057320000,1.0936
1747057380000,1.092
1747057440000,1.2168
1747057500000,1.1705
1747057560000,1.0544
1747057620000,1.0617
1747057680000,1.2243
1747057740000,1.0435
1747057800000,1.1323
1747057860000,1.2731
1747057920000,1.0733
1747057980000,1.0722
1747058040000,1.0833
1747058100000,1.0928
1747058160000,1.0476
1747058220000,1.0054
1747058280000,1.2343
1747058340000,1.1739
1747058400000,1.157
1747058460000,1.077
1747058520000,1.0281
1747058580000,1.0533
1747058640000,1.066
1747058700000,1.0548
1747058760000,1.0221
1747058820000,1.0864
1747058880000,1.0168
1747058940000,1.0559
1747059000000,1.0101
1747059060000,1.0272
1747059120000,0.9913
1747059180000,1.0465
1747059240000,1.0688
1747059300000,1.0337
1747059360000,1.0149
1747059420000,1.0118
1747059480000,1.0382
1747059540000,1.0192
1747059600000,1.037
1747059660000,1.0207
1747059720000,0.9911
1747059780000,1.0551
1747059840000,1.0022
1747059900000,1.0098
1747059960000,1.0002
1747060020000,1.0293
1747060080000,1.0396
1747060140000,1.0177
1747060200000,0.9949
1747060260000,1.0372
1747060320000,0.9748
1747060380000,0.9965
1747060440000,0.9879
1747060500000,1.0074
1747060560000,0.9737
1747060620000,0.9823
1747060680000,0.9492
1747060740000,0.9997
1747060800000,0.9663
1747060860000,1.023
1747060920000,0.9889
1747060980000,0.9489
1747061040000,0.9631
1747061100000,0.9537
1747061160000,0.9822
1747061220000,0.9796
1747061280000,0.9925
1747061340000,0.9761
1747061400000,0.9453
1747061460000,0.9611
1747061520000,0.9631
1747061580000,0.9224
1747061640000,0.9405
1747061700000,0.9406
1747061760000,0.959
1747061820000,0.93
1747061880000,0.9505
1747061940000,0.9443
1747062000000,0.948
1747062060000,0.9581
1747062120000,1.0064
1747062180000,0.9645
1747062240000,0.9651
1747062300000,0.9843
1747062360000,0.956
1747062420000,0.9768
1747062480000,0.9808
1747062540000,0.956
1747062600000,0.9784
1747062660000,0.9648
1747062720000,0.9569
1747062780000,0.9408
1747062840000,0.9404
1747062900000,0.9583
1747062960000,0.96
1747063020000,0.9622
1747063080000,0.961
1747063140000,0.9428
1747063200000,0.9661
1747063260000,0.9642
1747063320000,0.9827
1747063380000,0.9589
1747063440000,0.93
1747063500000,0.9618
1747063560000,0.9767
1747063620000,0.9262
1747063680000,0.9982
1747063740000,0.9149
1747063800000,0.9335
1747063860000,0.9037
1747063920000,0.9569
1747063980000,0.938
1747064040000,0.936
1747064100000,0.9284
1747064160000,0.9109
1747064220000,0.9099
1747064280000,0.9429
