metric_name,anomaly_count_in_event,baseline_mean,anomaly_mean,peak_value,amplitude_percent,peak_diff,baseline_std,anomaly_std,var_ratio,anomaly_ratio,max_continuous_anomaly_duration,trend_slope,volatility,shape_sequence,seasonality_change_yesterday,seasonality_change_day_before,severity_quantile
middleware_tddl_write_table_rt,38,2.36,2.42,2.52,2.83,0.16,0.02,0.03,1.77,0.59,17,0.0,0.01,"[2.4, 2.4, 2.4, 2.4, 2.4, 2.4]",0.23,0.22,99.72
middleware_hsf_provider_rt,11,77.73,704.09,5646.07,805.83,5568.34,1.8,1526.01,845.77,0.18,11,53.51,2.17,"[77.6, 76.1, 76.5, 76.7, 75.9, 3380.7]",8.67,8.93,100.0
middleware_hsf_provider_biz_pool_usage,11,0.07,0.09,0.36,35.01,0.29,0.0,0.07,67255.02,0.18,11,0.0,0.72,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.2]",0.35,0.35,100.0
middleware_tddl_read_table_rt,11,0.96,8.58,50.48,793.7,49.52,0.07,16.86,250.32,0.18,11,0.62,1.97,"[1.0, 1.0, 1.0, 1.0, 0.9, 43.8]",8.01,8.05,100.0
middleware_tddl_read_table_success_rate,11,1.0,0.99,1.0,-0.63,0.0,0.0,0.01,13991.9,0.0,0,-0.0,0.01,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",-0.01,-0.01,50.01
middleware_hsf_provider_success_rate,11,1.0,0.99,1.0,-1.4,0.0,0.0,0.03,1227.91,0.0,0,-0.0,0.03,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9]",-0.01,-0.01,50.6
middleware_tair_read_qps,8,0.18,0.18,0.21,-2.03,0.03,0.0,0.03,6.33,0.03,1,-0.0,0.15,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.1]",0.2,0.1,100.0
middleware_hsf_provider_qps,7,0.03,0.03,0.04,2.65,0.01,0.0,0.0,1.89,0.03,1,-0.0,0.06,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.03,-0.01,100.0
middleware_hsf_consumer_rt,6,20.13,21.14,29.76,5.0,9.63,0.29,2.6,9.12,0.18,11,0.09,0.12,"[20.0, 20.1, 20.2, 20.0, 20.1, 26.4]",0.05,0.06,99.15
pod_cpu_load_average_1m_util_limit_v2,6,0.41,0.42,0.45,1.89,0.04,0.02,0.02,1.22,0.0,0,-0.0,0.05,"[0.4, 0.4, 0.4, 0.4, 0.4, 0.4]",0.03,0.03,99.98
pod_cpu_limit_usage,5,0.32,0.33,0.36,2.4,0.04,0.01,0.01,1.41,0.05,1,-0.0,0.04,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",0.04,0.03,100.0
