metric_name,anomaly_count_in_event,baseline_mean,anomaly_mean,peak_value,amplitude_percent,peak_diff,baseline_std,anomaly_std,var_ratio,anomaly_ratio,max_continuous_anomaly_duration,trend_slope,volatility,shape_sequence,seasonality_change_yesterday,seasonality_change_day_before,severity_quantile
pod_nginx_qps,56,0.25,0.19,0.25,-23.82,-0.0,0.01,0.04,4.38,0.0,0,-0.0,0.18,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.1]",-0.24,-0.26,14.03
middleware_hsf_consumer_qps,48,0.15,0.23,0.35,53.74,0.2,0.01,0.05,3.94,0.75,32,0.0,0.24,"[0.2, 0.2, 0.2, 0.2, 0.3, 0.3]",0.38,0.32,100.0
middleware_hsf_provider_biz_pool_usage,47,0.08,0.21,0.65,178.57,0.57,0.0,0.19,44.89,0.62,32,0.01,0.91,"[0.1, 0.1, 0.1, 0.1, 0.3, 0.6]",2.01,2.01,100.0
middleware_hsf_provider_qps,46,0.01,0.01,0.02,27.35,0.01,0.0,0.0,6.5,0.49,28,0.0,0.22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.33,0.24,100.0
middleware_tair_write_qps,44,0.23,0.31,0.49,38.36,0.26,0.01,0.07,5.14,0.7,28,0.0,0.24,"[0.2, 0.3, 0.3, 0.3, 0.4, 0.4]",0.37,0.28,100.0
middleware_tair_read_qps,44,0.42,0.57,0.86,36.96,0.44,0.02,0.13,5.53,0.72,28,0.01,0.23,"[0.4, 0.5, 0.5, 0.5, 0.7, 0.8]",0.36,0.28,100.0
middleware_hsf_provider_success_rate,26,1.0,0.99,1.0,-0.83,0.0,0.0,0.02,15.65,0.0,0,-0.0,0.02,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",-0.01,-0.01,88.33
pod_cpu_limit_usage,25,0.54,0.57,0.64,4.82,0.09,0.01,0.02,1.9,0.33,7,0.0,0.04,"[0.5, 0.6, 0.6, 0.6, 0.6, 0.6]",0.14,0.15,100.0
middleware_hsf_provider_rt,23,207.18,315.81,1261.91,52.43,1054.73,45.01,249.01,5.53,0.28,10,9.38,0.79,"[187.3, 218.9, 184.4, 202.0, 296.0, 711.7]",0.93,1.02,100.0
middleware_hsf_consumer_rt,21,97.9,119.0,334.28,21.55,236.38,19.82,55.23,2.79,0.23,6,1.94,0.46,"[87.7, 102.1, 89.2, 96.6, 126.3, 190.6]",0.48,0.5,100.0
pod_cpu_load_average_1m_util_limit_v2,16,0.58,0.6,0.76,4.76,0.18,0.04,0.04,0.96,0.03,2,0.0,0.07,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.7]",0.17,0.16,100.0
middleware_tair_write_rt,16,1.23,1.47,12.8,19.86,11.57,0.63,1.59,2.54,0.03,1,0.04,1.08,"[1.0, 1.0, 1.0, 1.0, 1.3, 3.3]",0.41,0.38,100.0
middleware_tair_read_rt,12,1.2,1.3,13.04,8.02,11.84,1.43,1.69,1.18,0.02,1,0.04,1.3,"[0.7, 0.7, 0.7, 0.8, 1.1, 3.5]",0.67,0.65,100.0
middleware_metaq_send_rt,11,3.48,5.34,58.7,53.66,55.23,0.4,7.2,17.79,0.21,11,0.14,1.35,"[3.4, 3.5, 3.6, 3.6, 4.3, 13.2]",0.36,0.42,100.0
middleware_hsf_online,5,1.0,0.97,1.0,-2.84,0.0,0.0,0.1,101430.09,0.0,0,-0.0,0.1,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9]",-0.03,-0.03,50.63
jvm_gc_fgc_time,3,3.4,866.15,42740.2,25375.02,42736.8,13.17,5500.37,417.7,0.13,3,72.43,6.35,"[0.0, 0.0, 0.0, 0.0, 162.9, 5107.7]",0.0,0.0,100.0
middleware_tair_read_success_rate,3,1.0,1.0,1.0,-0.01,0.0,0.0,0.0,3.68,0.0,0,-0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",-0.0,-0.0,50.04
jvm_gc_fgc_count,3,0.0,0.16,7.1,4180.02,7.1,0.01,0.92,63.85,0.13,3,0.01,5.78,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.9]",0.0,0.0,100.0
